hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_24,MX09_relu20,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,20.0,relu,0.534,23784045,fgsm,0.8,831,0.0,0.1,0.0334498326954601,3.0939921139053444e-05,8.371356600568628e-05,0.9992454428922488,-0.2617853091317587,0.424880458565559,1.8504552315902931,29.975214239607308,6.8305743432566e-05
K10_w12_24,MX09_relu25,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,25.0,relu,0.5404,13595108,fgsm,0.8,883,0.0,0.1,0.0320845255199715,4.237374393152752e-05,0.0001469238318041,0.9986751832614578,-0.2499045934179302,0.4355443778557917,1.076105000965552,29.99198659908912,6.565103950660121e-05
K10_w12_24,MX09_relu30,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,30.0,relu,0.5448,302554863,fgsm,0.8,1058,0.0,0.1,0.0277394126595703,4.5102958651553176e-05,0.0002809337519146,0.9974650967523838,-0.2617713628016874,0.3946313973484807,1.489318991319213,29.99707610014376,7.030907559514833e-05
K10_w12_25,MX05_elu06,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,6.0,elu,0.5186,533993246,fgsm,0.8,502,0.0,0.1,0.0431010253948612,3.912916942936194e-05,7.27788715762665e-05,0.9993430805949948,-0.2317044715037476,0.438642376533247,1.3715139502689293,29.961380449988336,6.977201198746886e-05
K10_w12_25,MX05_elu08,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,8.0,elu,0.53,1021728438,fgsm,0.8,648,0.0,0.1,0.0400326252330611,2.8896309543870305e-05,5.337081379888798e-05,0.9995176413220912,-0.2327486652282946,0.405338790736076,1.3807060741553638,29.99816261892899,6.624457743392481e-05
K10_w12_25,MX05_elu10,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,elu,0.5433,6532724975,fgsm,0.8,809,0.0,0.1,0.0376898078997866,1.899841195909345e-05,3.780050054521222e-05,0.9996585616094608,-0.2347298111943064,0.3981925911773469,1.3805892552463055,29.998295194432743,7.060647992117648e-05
K10_w12_25,MX05_elu12,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,12.0,elu,0.5517,31216997,fgsm,0.8,915,0.0,0.1,0.0360411629584084,2.7330864820021755e-05,8.355439933790402e-05,0.9992462923095724,-0.2406291514863869,0.4046895708187789,1.3804547503760118,29.99826940005894,6.995525936656309e-05
K10_w12_25,MX05_elu16,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,16.0,elu,0.5579,180944764,fgsm,0.8,1080,0.0,0.1,0.0337064062918061,3.321012860741541e-05,0.0001248195189857,0.9988733580161674,-0.2623768539017339,0.4127591427695327,1.9999291150476044,29.95766265279415,6.682293645694266e-05
K10_w12_25,MX05_gelu08,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,8.0,gelu,0.525,1659042087,fgsm,0.8,507,0.0,0.1,0.0454397412239591,4.242238153889239e-05,8.772506108865766e-05,0.9992065503554008,-0.2377071602856406,0.4575429588176067,1.5936321540940406,29.773671667170444,6.991031688274529e-05
K10_w12_25,MX05_gelu10,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,gelu,0.5277,377020298,fgsm,0.8,536,0.0,0.1,0.0455131883282386,5.090142734455654e-05,0.0001208038613809,0.998908085514178,-0.2281294145735861,0.4767185474067126,1.1582837385229277,29.99634364515154,7.049882435273393e-05
K10_w12_25,MX05_gelu12,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,12.0,gelu,0.5276,6726411162,fgsm,0.8,501,0.0,0.1,0.0469624477059277,5.312976918694731e-05,0.0001153377869624,0.998959363518932,-0.2477492880393992,0.497464778135859,2.0364950688420715,30.01402983316433,7.062293111180035e-05
K10_w12_25,MX05_relu08,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,8.0,relu,0.5295,28970895,fgsm,0.8,652,0.0,0.1,0.03984268363774,2.9060295015810764e-05,6.31494288724197e-05,0.999430380461893,-0.2328325397386508,0.4117937284045037,1.3848676519627752,29.998306203188204,7.039186396686796e-05
K10_w12_25,MX05_relu10,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,relu,0.5427,629807977,fgsm,0.8,815,0.0,0.1,0.0374946638007673,2.3247112017110627e-05,5.551371238506212e-05,0.999499094475934,-0.2359320534977851,0.4007783201976251,1.3806028762582072,29.99827016129976,7.038643473850047e-05
K10_w12_25,MX05_relu12,10,12,2,5,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,12.0,relu,0.552,511857013,fgsm,0.8,905,0.0,0.1,0.0361669835152808,2.7680656423859397e-05,8.77252447107878e-05,0.999208648935953,-0.2395547432114987,0.4023696413553866,1.380499760569586,29.998291050144847,7.047991028416008e-05
